id;titolo;descrizione;data;nome_file;categoria;peso_file;copertina
3898;Moretti;2018/2019;;foto/Maglie Toro/Giocate/moretti_fronte.jpeg;Maglie Toro/Giocate;;False
3899;Moretti;2018/2019;;foto/Maglie Toro/Giocate/moretti.jpeg;Maglie Toro/Giocate;;False
3900;Caceres;2012/2013;;foto/Maglie Toro/Giocate/toro_caceres_2.jpeg;Maglie Toro/Giocate;;False
3901;Caceres;2012/2013;;foto/Maglie Toro/Giocate/toro_caceres.jpeg;Maglie Toro/Giocate;;False
3902;De Vezze;2010/11;;foto/Maglie Toro/Giocate/toro_de_vezze_2.jpeg;Maglie Toro/Giocate;;False
3903;De Vezze;2010/11;;foto/Maglie Toro/Giocate/toro_de_vezze.jpeg;Maglie Toro/Giocate;;False
3904;Hart;2016/17;;foto/Maglie Toro/Giocate/hart_retro.jpeg;Maglie Toro/Giocate;;False
3905;Hart;2016/17;;foto/Maglie Toro/Giocate/hart_fronte.jpeg;Maglie Toro/Giocate;;False
3906;Sirigu;2017/18;;foto/Maglie Toro/Giocate/sirigu_retro.jpeg;Maglie Toro/Giocate;;False
3907;Sirigu;2017/18;;foto/Maglie Toro/Giocate/sirigu_fronte.jpeg;Maglie Toro/Giocate;;False
3908;Belotti;20017/18;;foto/Maglie Toro/Giocate/belotti_retro.jpeg;Maglie Toro/Giocate;;False
3909;Belotti;20017/18;;foto/Maglie Toro/Giocate/belotti_fronte.jpeg;Maglie Toro/Giocate;;False
3910;Sanabria;2021/22;;foto/Maglie Toro/Giocate/sanabria_fronte.jpeg;Maglie Toro/Giocate;;False
3911;Sanabria;2021/22;;foto/Maglie Toro/Giocate/sanabria_retro.jpeg;Maglie Toro/Giocate;;False
3912;Brekalo;2021/22;;foto/Maglie Toro/Giocate/brekalo_fronte.jpeg;Maglie Toro/Giocate;;False
3913;Brekalo;2021/22;;foto/Maglie Toro/Giocate/brekalo_retro.jpeg;Maglie Toro/Giocate;;False
3914;Vlasic;2022/23;;foto/Maglie Toro/Giocate/vlasic.jpeg;Maglie Toro/Giocate;;False
3915;Vlasic;2022/23;;foto/Maglie Toro/Giocate/toro_vlasic.jpeg;Maglie Toro/Giocate;;False
3916;Buongiorno;2022/23;;foto/Maglie Toro/Giocate/buongiorno_retro.jpeg;Maglie Toro/Giocate;;False
3917;Buongiorno;2022/23;;foto/Maglie Toro/Giocate/buongiorno_fronte.jpeg;Maglie Toro/Giocate;;False
3918;Buongiorno;2020/21;;foto/Maglie Toro/Giocate/buongiorno_suzuki.jpeg;Maglie Toro/Giocate;;False
3919;Buongiorno;2020/21;;foto/Maglie Toro/Giocate/buongiorno_suzuki_retro.jpeg;Maglie Toro/Giocate;;False
3920;Edera (primavera);2014/15;;foto/Maglie Toro/Giocate/edera_retro.jpeg;Maglie Toro/Giocate;;False
